"longitude","latitude","reconstruction_log_probability","percentile"
17.57765369,54.94932413,-2.99412870407104,"75-100"
18.17765369,55.14932413,-3.52714848518372,"50-75"
18.17765369,54.94932413,-3.21646928787231,"75-100"
18.27765369,55.04932413,-3.52308630943298,"50-75"
12.07765369,54.34932413,-3.30708146095276,"75-100"
12.07765369,54.44932413,-2.95042324066162,"75-100"
12.07765369,54.24932413,-3.73180556297302,"50-75"
20.57765369,55.84932413,-3.36498999595642,"50-75"
20.57765369,56.34932413,-4.51743221282959,"25-50"
15.77765369,54.44932413,-3.96955537796021,"50-75"
10.77765369,55.94932413,-3.09266400337219,"75-100"
12.27765369,54.34932413,-2.93188190460205,"75-100"
12.87765369,54.64932413,-3.06798076629639,"75-100"
16.47765369,54.64932413,-4.58456134796143,"25-50"
16.47765369,54.54932413,-3.2073655128479,"75-100"
11.77765369,57.04932413,-4.76001262664795,"25-50"
10.57765369,57.04932413,-2.96887111663818,"75-100"
20.47765369,55.84932413,-5.67502212524414,"0-25"
20.37765369,55.74932413,-3.68416690826416,"50-75"
20.27765369,55.04932413,-3.25409984588623,"75-100"
12.37765369,54.54932413,-3.24393582344055,"75-100"
11.57765369,57.04932413,-4.23045301437378,"50-75"
12.27765369,54.64932413,-2.99803018569946,"75-100"
12.37765369,54.44932413,-2.99846935272217,"75-100"
15.97765369,54.54932413,-3.3145854473114,"75-100"
10.37765369,55.84932413,-2.91094279289246,"75-100"
18.17765369,55.04932413,-3.44075274467468,"50-75"
10.97765369,55.24932413,-3.4309663772583,"50-75"
14.17765369,54.74932413,-4.54144716262817,"25-50"
15.47765369,54.34932413,-3.30809640884399,"75-100"
13.87765369,54.64932413,-5.21668529510498,"25-50"
15.57765369,54.44932413,-4.4610915184021,"25-50"
20.87765369,55.94932413,-2.97140288352966,"75-100"
11.97765369,54.44932413,-2.9256284236908,"75-100"
12.47765369,54.44932413,-3.14433693885803,"75-100"
20.77765369,55.94932413,-2.93987774848938,"75-100"
11.57765369,56.94932413,-3.18762850761414,"75-100"
11.37765369,56.14932413,-3.15932369232178,"75-100"
20.17765369,55.14932413,-4.4055061340332,"25-50"
20.57765369,56.24932413,-4.56112480163574,"25-50"
15.67765369,54.44932413,-4.38644886016846,"25-50"
20.97765369,56.14932413,-3.22567462921143,"75-100"
20.87765369,56.24932413,-4.58628845214844,"25-50"
11.27765369,56.14932413,-5.05031967163086,"25-50"
11.47765369,56.04932413,-3.01734066009521,"75-100"
18.07765369,54.84932413,-2.92838311195374,"75-100"
12.47765369,54.54932413,-3.31600093841553,"75-100"
10.97765369,55.34932413,-3.32314801216125,"75-100"
12.57765369,54.74932413,-2.99502205848694,"75-100"
11.67765369,56.84932413,-3.53095006942749,"50-75"
16.57765369,54.64932413,-4.55472230911255,"25-50"
11.37765369,56.24932413,-4.64100360870361,"25-50"
11.57765369,56.84932413,-3.04720950126648,"75-100"
16.87765369,55.14932413,-5.5123291015625,"0-25"
16.87765369,55.24932413,-5.27890634536743,"25-50"
16.87765369,55.04932413,-2.79164814949036,"75-100"
11.27765369,56.74932413,-3.00222110748291,"75-100"
12.67765369,54.94932413,-3.48764514923096,"50-75"
11.37765369,56.84932413,-2.8073251247406,"75-100"
10.27765369,54.54932413,-4.65746259689331,"25-50"
11.47765369,56.24932413,-3.18291974067688,"75-100"
11.57765369,56.74932413,-2.92801856994629,"75-100"
13.07765369,54.94932413,-3.21262216567993,"75-100"
11.57765369,54.54932413,-2.90813255310059,"75-100"
11.17765369,55.14932413,-3.10443449020386,"75-100"
14.07765369,54.64932413,-4.96899652481079,"25-50"
11.47765369,56.74932413,-2.76703524589539,"75-100"
11.47765369,56.84932413,-2.94575715065002,"75-100"
17.27765369,55.44932413,-3.29712224006653,"75-100"
17.27765369,55.64932413,-4.3855357170105,"25-50"
10.17765369,55.74932413,-2.99016141891479,"75-100"
10.37765369,55.74932413,-2.96899223327637,"75-100"
10.27765369,55.84932413,-2.93951463699341,"75-100"
12.57765369,54.54932413,-3.05944776535034,"75-100"
11.47765369,56.34932413,-3.95953035354614,"50-75"
13.07765369,55.04932413,-5.27591323852539,"25-50"
11.67765369,56.64932413,-4.7860107421875,"25-50"
17.47765369,55.44932413,-3.68117141723633,"50-75"
17.57765369,55.54932413,-5.72413635253906,"0-25"
11.87765369,56.94932413,-3.36040067672729,"75-100"
15.37765369,54.24932413,-3.37336230278015,"50-75"
11.07765369,56.74932413,-2.95802211761475,"75-100"
11.57765369,56.04932413,-3.07643437385559,"75-100"
11.27765369,56.94932413,-5.26195335388184,"25-50"
10.87765369,56.04932413,-3.1099910736084,"75-100"
12.47765369,54.64932413,-4.42419624328613,"25-50"
10.87765369,54.54932413,-6.28057241439819,"0-25"
